Rank,InfluencerNik,InfluencerName,Image,Categories,Followers,Country,EngAuth,EngAvg
1,jlo,Jennifer Lopez,https://cdn.hypeauditor.com/img/instagram/user/305701719.jpg?w=150&till=1707449430&sign=7b1926d27214e37644bbb3f07ece99d3,"""[Music Cinema & Actors/actresses]""",253.7M,United States,331.9K,487.5K
2,vindiesel,Vin Diesel,https://cdn.hypeauditor.com/img/instagram/user/1287006597.jpg?w=150&till=1707449430&sign=3c9fd605a78822e248957e656a80b8c9,"""[Cinema & Actors/actresses]""",102.7M,United States,481.9K,603.6K
3,kanyewest,Ye,https://cdn.hypeauditor.com/img/instagram/user/3949224551.jpg?w=150&till=1707449430&sign=994fe7b65e357b5133606177af6aca3f,"""[Lifestyle]""",19M,United States,1.1M,2M
4,cznburak,Burak Özdemir,https://cdn.hypeauditor.com/img/instagram/user/303947497.jpg?w=150&till=1707449430&sign=60c329d70cd753f15cd578059e9cb23e,"""[Food & Cooking]""",54.7M,Turkey,383.9K,487.9K
5,emrata,Emily Ratajkowski,https://cdn.hypeauditor.com/img/instagram/user/1999824.jpg?w=150&till=1707449430&sign=f3f90e8fb19411be11b4ae420b3a7085,"""[Modeling]""",30.1M,United States,513.4K,710K
6,thenotoriousmma,Conor McGregor Official,https://cdn.hypeauditor.com/img/instagram/user/421468021.jpg?w=150&till=1707449430&sign=33dba87e7ca6d2b331590959fc3ea538,"""[Fitness & Gym]""",47.3M,United States,273.8K,338.5K
7,vladimirshmondenko,VLADIMIR1 & mr ANATOLY,https://cdn.hypeauditor.com/img/instagram/user/3065952778.jpg?w=150&till=1707449430&sign=97ddb9645ac4408dc2940f4d96a3a0e7,"""[Fitness & Gym]""",11.5M,Russia,1M,1.2M
8,otabek_muhammadalievich,Otabek Umarov,https://cdn.hypeauditor.com/img/instagram/user/43614523.jpg?w=150&till=1707449430&sign=c4a296f1ba53d3dfd3e3e14801540950,"""[]""",31.3M,Russia,278K,428K
9,hakkiakdenizz,hakki akdeniz,https://cdn.hypeauditor.com/img/instagram/user/3710086592.jpg?w=150&till=1707449430&sign=fbabdfaa11adc19ef402a49109f20d08,"""[Business & Careers]""",32M,Turkey,214.5K,351.5K
10,samoylovaoxana,Samoylova Oxana,https://cdn.hypeauditor.com/img/instagram/user/363632546.jpg?w=150&till=1707449430&sign=2516a25b07c96bd03f1d6a0a2273ed6a,"""[Family Lifestyle]""",15.7M,Russia,482.9K,590.4K
11,kashikakapoor09,Kashika Kapoor,https://cdn.hypeauditor.com/img/instagram/user/681936033.jpg?w=150&till=1707449430&sign=50124157979a740ba64533ca0587ddc7,"""[Beauty Lifestyle Cinema & Actors/actresses]""",17.6M,India,181K,418.9K
12,tatawerneck,Tata Werneck,https://cdn.hypeauditor.com/img/instagram/user/26029182.jpg?w=150&till=1707449430&sign=3da6c956a8014797dabfc63a015971bc,"""[Cinema & Actors/actresses Family]""",57.2M,Brazil,84.7K,127.1K
13,hannahstocking,Hannah Stocking,https://cdn.hypeauditor.com/img/instagram/user/32406002.jpg?w=150&till=1707449430&sign=a54781e32af2fb9bf135778abf9c4573,"""[Modeling]""",26.4M,United States,205.8K,268.6K
14,irinashayk,irina shayk,https://cdn.hypeauditor.com/img/instagram/user/220428576.jpg?w=150&till=1707449430&sign=20d23e78ebc00ea08e0c26f2fbc1d3c5,"""[Modeling]""",23.4M,Russia,236.2K,293.8K
15,araikgalstyanmoscowschool,ARAIK GALSTYAN,https://cdn.hypeauditor.com/img/instagram/user/1789990805.jpg?w=150&till=1707449430&sign=1ba11742cf12013920f08077b078e1c9,"""[Beauty]""",22.2M,Russia,158.7K,292.1K
16,leonardodicaprio,Leonardo DiCaprio,https://cdn.hypeauditor.com/img/instagram/user/1506607755.jpg?w=150&till=1707449430&sign=f783d2c7fc072023288c9dea253e6dd3,"""[Cinema & Actors/actresses]""",62.2M,United States,81.8K,98.1K
